,genes
1018,SNAPC1
1019,ALDH1A1
1020,CENPE
1021,BACH2
1022,IL4I1
1023,SMC4
1024,LIF
1025,MICAL1
1026,TRBC2
1027,CHN1
1028,TUBB4B
1029,IL2RA
1030,KBTBD7
1031,MMD
1032,BLVRB
1033,MLKL
1034,DRAIC
1035,LINC01871
1036,TSPYL2
1037,TRAV39
1038,BEX3
1039,CHI3L2
1040,CGAS
1041,ADAMTS4
1042,CKB
1043,ELL2
1044,CHST15
1045,ICA1
1046,ABCA1
1047,PTPRJ
1048,NPC2
1049,MEF2B
1050,LPAR2
1051,KREMEN1
1052,KCTD12
1053,CD38
1054,PSTPIP2
1055,MYBL1
1056,SPX
1057,EGR2
1058,SMIM5
1059,ZFP36L2
1060,UBN2
1061,BCORL1
1062,SLC16A3
1063,ZBED2
1064,INTS1
1065,FAM124A
1066,TNFSF11
1067,CD2
1068,ADAMDEC1
1069,COMP
1070,ALDH1A2
1071,C1S
1072,ABCA6
1073,ATP6V0C
1074,BPGM
1075,S1PR5
1076,RALGPS2
1077,IL19
1078,KCNAB3
1079,SLCO4C1
1080,RASSF6
1081,CEMIP
1082,RNF24
1083,PNPLA1
1084,IFIT1
1085,PDLIM1
1086,IRF4
1087,VASN
1088,TNFRSF12A
1089,ATAD2B
1090,BHLHE40
1091,CD1E
1092,SDHAF1
1093,TSPO2
1094,CADPS
1095,TNFSF4
1096,LINC01480
1097,SYTL3
1098,CFP
1099,CDKN1A
1100,TMEM158
1101,KLRG1
1102,MAOB
1103,CSTA
1104,KIF14
1105,RTN3
1106,LILRA4
1107,TRGV8
1108,NPPA
1109,ZRANB1
1110,XBP1
1111,KDM6B
1112,DZANK1
1113,KIR2DL4
1114,SPATC1
1115,GPR34
1116,SMIM18
1117,TM4SF1
1118,PRRT4
1119,COLEC12
1120,MEIS1
1121,TLE4
1122,SSR4
1123,DSC2
1124,PHACTR1
1125,EEF1A1
1126,VEPH1
1127,NTM
1128,GNG4
1129,LGALS4
1130,ICOS
1131,CSGALNACT1
1132,TBL1X
1133,TUBGCP6
1134,SP3
1135,ALDOA
1136,S100A10
1137,GUCY1B1
1138,BICRA
1139,BIRC5
1140,ATG2B
1141,ZNF283
1142,ETS2
1143,LYST
1144,BICRAL
1145,FJX1
1146,MROH1
1147,HSP90B1
1148,CCN3
1149,GRAMD1A
1150,CCNA2
1151,TUBA4A
1152,PNPLA6
1153,DGKI
1154,TRAV25
1155,IL17C
1156,NOS1AP
1157,RNF144B
1158,QRICH2
1159,PLD3
1160,DGAT2
1161,MPP1
1162,COL7A1
1163,ZNF654
1164,CX3CR1
1165,WNK3
1166,LIME1
1167,FCRL5
1168,PLK3
1169,SLC39A8
1170,ITM2C
1171,GZMM
1172,ANGPTL4
1173,PTGS1
1174,UBOX5
1175,IMPDH1
1176,ARHGAP6
1177,ZFP36L1
1178,BMP3
1179,MYBPC3
1180,RYR3
1181,CD3G
1182,TLR4
1183,CETP
1184,TK1
1185,C5AR2
1186,DTYMK
1187,RNF14
1188,DAPK2
1189,NRARP
1190,TRGV5
1191,SPIB
1192,AICDA
1193,CCDC168
1194,UBE2S
1195,CD22
1196,PLXDC2
1197,VWF
1198,APBB2
1199,MT3
1200,REPS2
1201,DDIT4
1202,PLSCR2
1203,LINC01943
1204,HERPUD1
1205,CEP164
1206,MSH3
1207,IGFBP7
1208,MT-CO2
1209,NFKBID
1210,CCNA1
1211,CCR7
1212,PLXNC1
1213,PHLDA2
1214,SCD
1215,SERPINB10
1216,HS3ST1
1217,GLRX5
1218,AATK
1219,ISG15
1220,FKBP11
1221,AK2
1222,SGSM2
1223,ARFGAP1
1224,DCDC2B
1225,FCRLA
1226,PHC2
1227,MPEG1
1228,AP1S2
1229,TCF4
1230,TMEM63A
1231,LAYN
1232,DAAM2
1233,DTX1
1234,CD55
1235,CCDC126
1236,SEMA4A
1237,MAMDC2
1238,TRGV10
1239,MED12L
1240,SH2D1B
1241,HMGA1
1242,FAM111B
1243,XIST
1244,AFF3
1245,SH2D2A
1246,FLOT2
1247,MAMLD1
1248,MYC
1249,COTL1
1250,ADGRE2
1251,YPEL5
1252,STX3
1253,IGF1
1254,GNAI1
1255,STXBP2
1256,FOLR3
1257,ACTRT3
1258,TMEM91
1259,ARHGAP9
1260,SOCS3
1261,RBP7
1262,ENHO
1263,DTHD1
1264,RGL1
1265,GP6
1266,AMOTL1
1267,STOM
1268,ADIRF
1269,DRC1
1270,WASF1
1271,PXN
1272,KLF1
1273,GJA4
1274,PLD5
1275,TXNIP
1276,TMEM176B
1277,CDCA8
1278,EBI3
1279,PYHIN1
1280,SERPINF1
1281,CLTCL1
1282,NSUN7
1283,RIPOR2
1284,DAAM1
1285,NOD2
1286,MT-CO3
1287,TRGV3
1288,LRRC49
1289,SPI1
1290,KCNJ2
1291,AMPH
1292,ANXA2
1293,IFI6
1294,CTHRC1
1295,LGALS3BP
1296,INKA2
1297,TCN2
1298,EVA1A
1299,ARID1A
1300,QPCT
1301,AQP1
1302,DST
1303,HIF1A-AS3
1304,IFI44L
1305,PRKCD
1306,BCL2L15
1307,THAP5
1308,PLIN4
1309,DONSON
1310,SOX6
1311,RAMP1
1312,BCL7A
1313,NEU1
1314,NUMB
1315,ARAP1
1316,IGFL2
1317,NAV3
1318,CD3E
1319,CDK12
1320,MFAP4
1321,ZBTB18
1322,DUSP5
1323,TRGV4
1324,MED15
1325,RUFY1
1326,DCHS2
1327,CXCR5
1328,RGL4
1329,LDLR
1330,FRMD3
1331,HSPA2
1332,USP53
1333,KIF20A
1334,CDKN3
1335,CDC20B
1336,NLRP12
1337,TRAV34
1338,MAOA
1339,KPNA2
1340,RAB3C
1341,IL23R
1342,CTSC
1343,RAB27A
1344,ARFGEF1
1345,CD70
1346,IL23A
1347,DNM3
1348,RCN3
1349,ANKRD37
1350,RASIP1
1351,SERPINI1
1352,LTC4S
1353,SMOX
1354,EOMES
1355,CORIN
1356,CD81
1357,CDCA3
1358,TUBA1A
1359,RPS18
1360,SLC25A39
1361,LINC01750
1362,TRAV36DV7
1363,SLC13A5
1364,LYPD3
1365,B3GNT5
1366,TRAV4
1367,SULT1B1
1368,BAMBI
1369,CHGB
1370,GRB10
1371,PLOD2
1372,TXN
1373,CFH
1374,PRSS23
1375,MANSC1
1376,SCN1B
1377,NCF1
1378,SELL
1379,SNTB2
1380,SLC4A10
1381,AP5Z1
1382,TUBB6
1383,INTS6
1384,MYRF
1385,ACY3
1386,TP53I11
1387,PCNX1
1388,ZEB2
1389,TRPM2
1390,ATP1B1
1391,SNAI1
1392,MCM7
1393,TRGV9
1394,TTPAL
1395,GABRB2
1396,FKBP5
1397,DENND5A
1398,USP21
1399,PKP4
1400,GJB6
1401,PLAC9
1402,SPHK1
1403,PASK
1404,CILP
1405,CYP2E1
1406,ACAD8
1407,GIHCG
1408,CD93
1409,TGFBI
1410,QSOX1
1411,CSF1R
1412,AMPD3
1413,TBCEL
1414,LINC01291
1415,TAL1
1416,IRF1
1417,KBTBD6
1418,EIF4A3
1419,CLIC5
1420,FHL2
1421,NRP2
1422,MAFF
1423,GNPTAB
1424,FSTL1
1425,GPAT3
1426,MATK
1427,TLR6
1428,SLC45A3
1429,SPRY2
1430,DOCK5
1431,IRF8
1432,TANC1
1433,GNAZ
1434,PROX1
1435,CD40LG
1436,NABP1
1437,CLEC4D
1438,TMEM140
1439,COQ7
1440,CEMIP2
1441,CD68
1442,CD19
1443,SLC22A4
1444,GOLGB1
1445,SHKBP1
1446,ENPP2
1447,HCK
1448,CYP4F8
1449,APMAP
1450,CKS1B
1451,INPP5K
1452,LHFPL2
1453,HCAR3
1454,HTRA3
1455,DENND3
1456,MARCKSL1
1457,PRDM1
1458,NLRC5
1459,GATA3
1460,PIK3R1
1461,GRAP2
1462,FCRL1
1463,PPP1R12C
1464,EGFL6
1465,PTPRB
1466,SERPINE2
1467,CLEC7A
1468,PCGF3
1469,TBX21
1470,MYO3B
1471,SAMD3
1472,EPB42
1473,COL6A2
1474,ANKRD28
1475,HECW2
1476,IGF2R
1477,SMPD3
1478,DMXL2
1479,MROH8
1480,MIAT
1481,SCN9A
1482,TBC1D23
1483,CEP78
1484,SDCBP
1485,CCR9
1486,NXF3
1487,RORA
1488,GCNT7
1489,BEX1
1490,PDCD1
1491,SLC15A4
1492,CHORDC1
1493,RPS12
1494,ITM2A
1495,MMP2
1496,MERTK
1497,SCGB1C2
1498,NRP1
1499,GSTO2
1500,PTGDR
1501,UCHL1
1502,CREG1
1503,CD163L1
1504,TNFRSF13B
1505,TSHZ2
1506,METRNL
1507,LPCAT2
1508,LRRN3
1509,LBR
1510,TSPOAP1
1511,CLASP1
1512,RPL13A
1513,SIRPB2
1514,NCR3
1515,EXOC6
1516,ELF3
1517,LILRB3
1518,CYTH4
1519,MFAP3L
1520,PLD4
1521,TNNC2
1522,MYO7B
1523,SDC3
1524,PCNA
1525,CDCA7
1526,DNTT
1527,STON2
1528,KLHL2
1529,RCAN1
1530,TLE1
1531,PGRMC1
1532,ATG2A
1533,FCRL6
1534,FASLG
1535,TOX2
1536,POU4F1
1537,STXBP6
1538,DMTN
1539,PHACTR4
1540,GPR155
1541,AIRE
1542,LINC00996
1543,NINJ1
1544,B3GNT8
1545,MCTP2
1546,MAP1A
1547,D2HGDH
1548,ZWINT
1549,CACYBP
1550,NECTIN3
1551,TSPAN32
1552,ADAM28
1553,GPD1
1554,SGCE
1555,SH3BP2
1556,LINC01727
1557,SLC38A2
1558,STEAP1B
1559,FCGR2B
1560,FRY
1561,RPL13
1562,TECPR1
1563,LILRA5
1564,SLC7A5
1565,VAPA
1566,FBXW2
1567,SPTSSB
1568,PELI1
1569,GTSE1
1570,ACSBG1
1571,FGR
1572,UBC
1573,LINC02608
1574,TMEM119
1575,CHID1
1576,ROCK1
1577,CNR1
1578,IP6K2
1579,ARL4D
1580,ABLIM3
1581,CHKA
1582,MAP1LC3A
1583,CADM2
1584,SAMHD1
1585,SDC1
1586,LINC02397
1587,LGALS12
1588,CAV1
1589,DNAJC5
1590,NUF2
1591,SYNGR3
1592,KCNG1
1593,GFPT2
1594,NIPBL
1595,BCO2
1596,COBLL1
1597,SHROOM4
1598,SMIM14
1599,TUBA8
1600,DPH6
1601,RASGEF1B
1602,TRIB2
1603,DAGLB
1604,F2R
1605,NPTX1
1606,IGSF11
1607,PPM1F
1608,LAMP3
1609,EGLN3
1610,ASAH1
1611,IL17RA
1612,VMP1
1613,CD274
1614,LINC02762
1615,SMIM1
1616,CARMN
1617,HCST
1618,UBE2D1
1619,TSHZ3
1620,TNFAIP1
1621,HAL
1622,PBX1
1623,LILRB2
1624,CD72
1625,HOOK2
1626,RGS6
1627,NRCAM
1628,THEM5
1629,ZNF573
1630,SORBS1
1631,NCKAP1
1632,KREMEN2
1633,PHLDA3
1634,GINS2
1635,KLHL21
1636,KCNJ13
1637,KIFC1
1638,AHNAK
1639,EZR
1640,BLK
1641,TRAV40
1642,PTPRE
1643,JMJD6
1644,FMN1
1645,LHPP
1646,HNRNPLL
1647,CSRNP1
1648,NFE2L2
1649,GABRR2
1650,RNF152
1651,RYR2
1652,LTBP4
1653,PLN
1654,TOB1
1655,RFLNB
1656,SLA2
1657,LIX1
1658,SIGLEC6
1659,ZMAT1
1660,ZZEF1
1661,TSLP
1662,LY6K
1663,TNFRSF1B
1664,ZYX
1665,PLA2G7
1666,DSP
1667,CLNK
1668,RPS4Y1
1669,ECHDC3
1670,HCLS1
1671,SPINK2
1672,RPL31
1673,MTUS1
1674,HMGB1
1675,CHP1
1676,MET
1677,SH3TC2
