,feature_name
LRP5L,LRP5L
APOBEC3B,APOBEC3B
PYROXD2,PYROXD2
RAB6B,RAB6B
PDZD11,PDZD11
RFESD,RFESD
SCN11A,SCN11A
PER3,PER3
IGLV7-46,IGLV7-46
OLR1,OLR1
TMPRSS13,TMPRSS13
KBTBD8,KBTBD8
SGCE,SGCE
CP,CP
NLRX1,NLRX1
DDX3Y,DDX3Y
ALPK1,ALPK1
IER2,IER2
LINC02324,LINC02324
IGFBP3,IGFBP3
SRPK3,SRPK3
TG,TG
ALPK2,ALPK2
LARS2,LARS2
IGKV1-27,IGKV1-27
SLCO2B1,SLCO2B1
GSTM4,GSTM4
THBS4,THBS4
TIMD4,TIMD4
ABCC4,ABCC4
KCNE5,KCNE5
TTC26,TTC26
MATN1,MATN1
SLC45A3,SLC45A3
CARD14,CARD14
SH2D2A,SH2D2A
ACAD8,ACAD8
CTC1,CTC1
ARMC7,ARMC7
SOX6,SOX6
DCHS1,DCHS1
AMMECR1L,AMMECR1L
ZNF415,ZNF415
ZSWIM5,ZSWIM5
FFAR3,FFAR3
GLB1L2,GLB1L2
MSH4,MSH4
ZNF714,ZNF714
PPP1R26,PPP1R26
FAM133A,FAM133A
BCL6,BCL6
HTRA3,HTRA3
TRBV6-1,TRBV6-1
NFRKB,NFRKB
DNAH17,DNAH17
MMP9,MMP9
PIWIL2,PIWIL2
PDSS1,PDSS1
SPAG4,SPAG4
INSL3,INSL3
THBS3,THBS3
KCND3,KCND3
TSPOAP1,TSPOAP1
CD74,CD74
MS4A6A,MS4A6A
IGKV1-6,IGKV1-6
CDC42EP4,CDC42EP4
CENPO,CENPO
LINC00526,LINC00526
RLN2,RLN2
ADAMTS14,ADAMTS14
QRFP,QRFP
ZNF77,ZNF77
PPARGC1A,PPARGC1A
TRAIP,TRAIP
WIPF3,WIPF3
EEF1G,EEF1G
TTC8,TTC8
LCAT,LCAT
CROCC,CROCC
COBLL1,COBLL1
FAM166A,FAM166A
UBN2,UBN2
MAPK10,MAPK10
GYPA,GYPA
GSTO2,GSTO2
SCD5,SCD5
TTLL1,TTLL1
IGLV7-43,IGLV7-43
ZNF764,ZNF764
NOD2,NOD2
DAAM1,DAAM1
FAM111A-DT,FAM111A-DT
TLR2,TLR2
ZNF519,ZNF519
CORIN,CORIN
TTC22,TTC22
OXSM,OXSM
RGPD3,RGPD3
RNF222,RNF222
LINC00298,LINC00298
RTN4IP1,RTN4IP1
MMP24,MMP24
PRMT6,PRMT6
OSBPL6,OSBPL6
GSDMB,GSDMB
RGS16,RGS16
LINC02541,LINC02541
PGAP3,PGAP3
LYSMD4,LYSMD4
ASIC3,ASIC3
SCX,SCX
TRAV36DV7,TRAV36DV7
CPNE9,CPNE9
BIRC3,BIRC3
IGKV1-8,IGKV1-8
PRF1,PRF1
PCSK4,PCSK4
KCNN1,KCNN1
BLOC1S3,BLOC1S3
TRAV3,TRAV3
ADAMTS17,ADAMTS17
MAP1B,MAP1B
PRRT2,PRRT2
TMIE,TMIE
IER5,IER5
QRICH2,QRICH2
SMURF1,SMURF1
HBM,HBM
TCL1A,TCL1A
KCNAB1,KCNAB1
GSG1,GSG1
HECTD3,HECTD3
CEBPB,CEBPB
ZNF773,ZNF773
SLC37A3,SLC37A3
EXOC3L4,EXOC3L4
TFPI2,TFPI2
GORAB,GORAB
NOXRED1,NOXRED1
STXBP2,STXBP2
UCHL1,UCHL1
PTPN14,PTPN14
METTL1,METTL1
TMEM52B,TMEM52B
LDLRAD3,LDLRAD3
SRA1,SRA1
WNT2B,WNT2B
SOCS6,SOCS6
PHLDB1,PHLDB1
LINC02595,LINC02595
CTNNAL1,CTNNAL1
HLA-DPA1,HLA-DPA1
LINC01140,LINC01140
SOX11,SOX11
TEX29,TEX29
NUTM2G,NUTM2G
GPLD1,GPLD1
PLK4,PLK4
GPR18,GPR18
ZNF528,ZNF528
SPRY2,SPRY2
ZNF295-AS1,ZNF295-AS1
LINC00887,LINC00887
CENPF,CENPF
LINC01792,LINC01792
SLC5A5,SLC5A5
MAP3K8,MAP3K8
SMPDL3B,SMPDL3B
ZNF521,ZNF521
TNFRSF11A,TNFRSF11A
TTC21A,TTC21A
GINS3,GINS3
IFI30,IFI30
KCNJ15,KCNJ15
VNN1,VNN1
PENK,PENK
ZNF613,ZNF613
GRAP2,GRAP2
SVIL,SVIL
LIPC,LIPC
PLD1,PLD1
TNFSF11,TNFSF11
DPH7,DPH7
LINC02851,LINC02851
IGHV3-23,IGHV3-23
BCL2L15,BCL2L15
CELSR1,CELSR1
SPIB,SPIB
TPRG1-AS1,TPRG1-AS1
TRIM36,TRIM36
KCNRG,KCNRG
AK2,AK2
PLAC9,PLAC9
PRKAB1,PRKAB1
JUN,JUN
NT5E,NT5E
ACKR4,ACKR4
ADGRG3,ADGRG3
SLC26A6,SLC26A6
CYP7B1,CYP7B1
ZMAT4,ZMAT4
GPR171,GPR171
FBXO2,FBXO2
SGO1,SGO1
S100A1,S100A1
SGSM1,SGSM1
ULBP2,ULBP2
CRTAM,CRTAM
CAVIN2,CAVIN2
PTPRN,PTPRN
ANXA8,ANXA8
SAA2,SAA2
IRF8,IRF8
PLD6,PLD6
USP53,USP53
SEMA4C,SEMA4C
RASGRF1,RASGRF1
ENPP5,ENPP5
RASSF2,RASSF2
GADD45A,GADD45A
RGS17,RGS17
SMAD1,SMAD1
FXR2,FXR2
SLC25A34,SLC25A34
LONRF3,LONRF3
KLRG1,KLRG1
LINC00960,LINC00960
DOCK7,DOCK7
NECAB1,NECAB1
GDF15,GDF15
RFC4,RFC4
KPNA2,KPNA2
DOC2A,DOC2A
IGHV5-51,IGHV5-51
MT1H,MT1H
GAL3ST4,GAL3ST4
LRRC70,LRRC70
SNX32,SNX32
SH3BP4,SH3BP4
KIF21B,KIF21B
CD8B,CD8B
TPST1,TPST1
GPR82,GPR82
MST1,MST1
ADAM8,ADAM8
AFAP1L1,AFAP1L1
NPPA,NPPA
ZDHHC11,ZDHHC11
SLC4A10,SLC4A10
BATF2,BATF2
GSKIP,GSKIP
RNFT2,RNFT2
PLTP,PLTP
FIRRE,FIRRE
SPR,SPR
CD1C,CD1C
PIMREG,PIMREG
SSR4,SSR4
CD200,CD200
PRDM5,PRDM5
ROM1,ROM1
ZNF541,ZNF541
RWDD2B,RWDD2B
CARMN,CARMN
LINC01993,LINC01993
PLOD2,PLOD2
AVP,AVP
SPATA21,SPATA21
IGHV3-21,IGHV3-21
CYP2F1,CYP2F1
SAXO1,SAXO1
MCF2,MCF2
CAPN5,CAPN5
PCNX1,PCNX1
SLC4A1,SLC4A1
KRBA2,KRBA2
COL15A1,COL15A1
NDUFA4L2,NDUFA4L2
APLP1,APLP1
SATB2,SATB2
CD84,CD84
COL1A2,COL1A2
TMEM144,TMEM144
GLA,GLA
LINC01191,LINC01191
GNAI1,GNAI1
LINC00964,LINC00964
TRAV38-2DV8,TRAV38-2DV8
LINC00691,LINC00691
TRBV12-4,TRBV12-4
STK31,STK31
EFCC1,EFCC1
CD69,CD69
SYTL2,SYTL2
PCDHGA12,PCDHGA12
ILDR2,ILDR2
